type,x,y,yaw
start,394648.15664723614,4438783.137147867,-0.05796276843116711
goal,394670.9832982911,4438783.143728894,0.0
path,394648.15664723614,4438783.137147867,-0.05796276843116711
path,394649.15496786515,4438783.079217549,0.25421008290814173
path,394650.1228301119,4438783.330698506,0.25421008290814173
path,394651.0906923586,4438783.582179463,-0.0579627684311671
path,394652.0890129876,4438783.524249145,-0.37013561977047593
path,394653.02129128244,4438783.162507274,-0.37013561977047593
path,394653.95356957725,4438782.800765404,-0.0579627684311671
path,394654.95189020626,4438782.742835086,-0.37013561977047593
path,394655.88416850107,4438782.381093215,-0.37013561977047593
path,394656.8164467959,4438782.019351345,-0.5160452890396395
path,394657.6862242015,4438781.525907057,-0.37013561977047593
path,394658.61850249633,4438781.164165187,-0.0579627684311671
path,394659.61682312534,4438781.106234869,0.25421008290814173
path,394660.5846853721,4438781.357715826,-0.0579627684311671
path,394661.5830060011,4438781.299785508,-0.0579627684311671
path,394662.5813266301,4438781.24185519,0.25421008290814173
path,394663.5491888768,4438781.493336147,-0.0579627684311671
path,394664.5475095058,4438781.435405829,-0.0579627684311671
path,394665.5458301348,4438781.377475511,-0.0579627684311671
path,394666.54415076383,4438781.319545194,0.25421008290814173
path,394667.51201301056,4438781.57102615,0.40011975217730533
path,394668.43302736426,4438781.960554789,0.7122926035166142
path,394669.18989285216,4438782.614125469,0.7122926035166142
path,394669.18989285216,4438782.614125469,0.7122926035166142
path,394669.78769466514,4438782.790659944,0.4748617356777428
path,394670.3854964781,4438782.967194419,0.2374308678388714
path,394670.9832982911,4438783.143728894,0.0
