type,x,y,yaw
start,394655.5027818069,4438782.901917049,0.029744180365167724
goal,394698.44155828556,4438794.430338941,0.0
path,394655.5027818069,4438782.901917049,0.029744180365167724
path,394656.5023394814,4438782.931656843,0.17565384963433128
path,394657.4869519693,4438783.1064088065,0.4878267009736401
path,394658.3703055541,4438783.575116011,0.799999552312949
path,394659.06701258465,4438784.292471791,0.799999552312949
path,394659.7637196152,4438785.00982757,0.799999552312949
path,394660.4604266457,4438785.727183349,0.799999552312949
path,394661.1571336762,4438786.444539129,0.4878267009736401
path,394662.0404872611,4438786.913246334,0.17565384963433128
path,394663.025099749,4438787.087998297,0.17565384963433128
path,394664.0097122369,4438787.2627502605,0.4878267009736401
path,394664.8930658217,4438787.731457465,0.17565384963433128
path,394665.8776783096,4438787.906209429,0.4878267009736401
path,394666.7610318945,4438788.374916634,0.799999552312949
path,394667.457738925,4438789.092272413,0.9459092215821125
path,394668.0427446407,4438789.903301582,0.6337363702428037
path,394668.848565251,4438790.49546131,0.3215635189034949
path,394669.79730767827,4438790.811511633,0.4674731881726585
path,394670.69001747743,4438791.26214365,0.15530033683334965
path,394671.6779825976,4438791.416820479,0.15530033683334965
path,394672.6659477178,4438791.571497307,0.009390667564186078
path,394673.6659036258,4438791.580887836,0.15530033683334965
path,394674.65386874595,4438791.735564665,0.009390667564186078
path,394675.65382465394,4438791.744955194,0.009390667564186078
path,394676.65378056193,4438791.754345723,0.15530033683334965
path,394677.6417456821,4438791.909022552,0.4674731881726585
path,394678.5344554813,4438792.359654569,0.7796460395119673
path,394679.2456179079,4438793.062682309,0.4674731881726585
path,394680.13832770707,4438793.513314326,0.15530033683334965
path,394681.12629282725,4438793.667991155,0.009390667564186078
path,394682.12624873524,4438793.677381684,0.15530033683334965
path,394683.1142138554,4438793.832058513,0.4674731881726585
path,394684.0069236546,4438794.28269053,0.4674731881726585
path,394684.89963345375,4438794.733322547,0.15530033683334965
path,394685.8875985739,4438794.887999375,0.15530033683334965
path,394686.8755636941,4438795.042676204,0.009390667564186078
path,394687.8755196021,4438795.052066733,-0.3027821837751228
path,394688.83003020333,4438794.753889752,-0.6149550351144316
path,394689.6468295923,4438794.176967956,-0.3027821837751228
path,394690.60134019353,4438793.878790975,0.00939066756418605
path,394691.6012961015,4438793.888181504,0.15530033683334962
path,394692.5892612217,4438794.042858332,0.00939066756418605
path,394693.5892171297,4438794.052248862,0.00939066756418605
path,394694.5891730377,4438794.061639391,0.15530033683334962
path,394695.57713815785,4438794.216316219,-0.1568725145059592
path,394696.5648588777,4438794.060086326,-0.469045365845268
path,394696.5648588777,4438794.060086326,-0.469045365845268
path,394697.19042534695,4438794.183503864,-0.312696910563512
path,394697.8159918163,4438794.306921402,-0.156348455281756
path,394698.44155828556,4438794.430338941,0.0
