type,x,y,yaw
start,394645.42573467316,4438784.140177696,0.04227461465022827
goal,394684.6897841293,4438796.364305917,1.5707963267948966
path,394645.42573467316,4438784.140177696,0.04227461465022827
path,394646.4248412347,4438784.18243972,-0.1036350546189353
path,394647.4194759271,4438784.078990077,0.20853779672037354
path,394648.3978106069,4438784.2860196745,-0.1036350546189353
path,394649.3924452993,4438784.182570031,-0.1036350546189353
path,394650.3870799917,4438784.079120387,0.20853779672037354
path,394651.36541467154,4438784.286149985,0.5207106480596824
path,394652.23288052523,4438784.783646711,0.20853779672037354
path,394653.2112152051,4438784.990676309,0.5207106480596824
path,394654.0786810588,4438785.488173035,0.20853779672037354
path,394655.0570157386,4438785.695202633,-0.1036350546189353
path,394656.051650431,4438785.591752989,0.20853779672037354
path,394657.02998511086,4438785.798782587,0.20853779672037354
path,394658.0083197907,4438786.005812185,0.20853779672037354
path,394658.98665447056,4438786.212841783,0.5207106480596824
path,394659.85412032425,4438786.710338509,0.5207106480596824
path,394660.72158617794,4438787.207835235,0.666620317328846
path,394661.5075020989,4438787.826168612,0.9787931686681548
path,394662.06552651006,4438788.655993145,0.666620317328846
path,394662.85144243104,4438789.274326522,0.5207106480596824
path,394663.71890828473,4438789.771823248,0.666620317328846
path,394664.5048242057,4438790.390156625,0.35444746598953714
path,394665.4426626069,4438790.7372288555,0.666620317328846
path,394666.22857852787,4438791.355562232,0.666620317328846
path,394667.01449444884,4438791.973895609,0.5207106480596824
path,394667.88196030253,4438792.471392335,0.666620317328846
path,394668.6678762235,4438793.089725712,0.35444746598953714
path,394669.6057146247,4438793.436797943,0.20853779672037356
path,394670.58404930454,4438793.643827541,0.20853779672037356
path,394671.5623839844,4438793.850857139,-0.10363505461893527
path,394672.5570186768,4438793.747407495,-0.10363505461893527
path,394673.55165336916,4438793.643957851,0.20853779672037356
path,394674.529988049,4438793.850987449,0.5207106480596824
path,394675.3974539027,4438794.348484175,0.666620317328846
path,394676.1833698237,4438794.966817552,0.35444746598953714
path,394677.12120822485,4438795.313889783,0.20853779672037356
path,394678.0995429047,4438795.520919381,-0.10363505461893527
path,394679.0941775971,4438795.417469737,-0.10363505461893527
path,394680.08881228947,4438795.3140200935,0.20853779672037356
path,394681.0671469693,4438795.521049691,0.5207106480596824
path,394681.934612823,4438796.018546417,0.666620317328846
path,394682.720528744,4438796.636879794,0.9787931686681548
path,394682.720528744,4438796.636879794,0.9787931686681548
path,394683.37694720575,4438796.546021835,1.176127554710402
path,394684.03336566756,4438796.4551638765,1.3734619407526494
path,394684.6897841293,4438796.364305917,1.5707963267948966
