type,timestamp,x,y,yaw
actual,1745082124.1054301,394645.4256301664,4438784.140103602,0.0422615770407158
actual,1745082124.1574924,394645.42531660496,4438784.139897011,0.04232482777280811
actual,1745082124.3148215,394645.4249289195,4438784.139762169,0.04230791553235632
actual,1745082124.359627,394645.430351162,4438784.140635522,0.042222289679253386
actual,1745082124.483291,394645.4299881839,4438784.140601636,0.04221843250160655
actual,1745082124.715219,394645.4299881839,4438784.140601636,0.0422053774388016
actual,1745082124.7152617,394645.4299881839,4438784.140601636,0.0422053774388016
actual,1745082124.8563218,394645.4299881839,4438784.140601636,0.0422053774388016
actual,1745082124.8563821,394645.4299881839,4438784.140601636,0.0422053774388016
actual,1745082124.9757245,394645.43348752905,4438784.140900143,0.042252117356170064
actual,1745082125.348331,394645.43089167646,4438784.142237588,0.042287530086693156
actual,1745082125.3483765,394645.43089167646,4438784.142237588,0.042287530086693156
actual,1745082125.348404,394645.43089167646,4438784.142237588,0.042287530086693156
actual,1745082125.3732839,394645.43089167646,4438784.142237588,0.042287530086693156
actual,1745082125.508066,394645.43085169577,4438784.142241007,0.04224092979566475
actual,1745082125.5592349,394645.4308315635,4438784.142243783,0.04224944700241456
actual,1745082125.7144127,394645.43034957023,4438784.142242063,0.04223520511571828
actual,1745082125.8951964,394645.43034957023,4438784.142242063,0.04223866086763718
actual,1745082125.895245,394645.43034957023,4438784.142242063,0.04223866086763718
actual,1745082125.9966717,394645.4309100417,4438784.142851346,0.04222401755521296
actual,1745082126.2779398,394645.43089940195,4438784.142890416,0.042199390959467245
actual,1745082126.2779908,394645.43089940195,4438784.142890416,0.042199390959467245
actual,1745082126.278021,394645.43089940195,4438784.142890416,0.042199390959467245
actual,1745082126.3765733,394645.4319153323,4438784.142834894,0.042200176357630646
actual,1745082126.5107074,394645.4319339227,4438784.142825218,0.04219246200233696
actual,1745082126.556481,394645.43223363976,4438784.14285741,0.04218434622131509
actual,1745082126.7807503,394645.43227486976,4438784.142836945,0.04233920928584469
actual,1745082126.780836,394645.43227486976,4438784.142836945,0.04233920928584469
actual,1745082126.9095492,394645.4327510468,4438784.142120106,0.0423642373073181
actual,1745082126.9570796,394645.4327789179,4438784.142118205,0.0423642373073181
actual,1745082127.1372447,394645.4327343249,4438784.142416738,0.0422019216868827
actual,1745082127.2150877,394645.43276346894,4438784.142414411,0.04221150354447626
actual,1745082127.256041,394645.43278903293,4438784.142442574,0.04220310851077403
actual,1745082127.378934,394645.43278714444,4438784.142435792,0.042209775668516684
actual,1745082127.467872,394645.4334142087,4438784.141343422,0.042242395872236445
actual,1745082127.635697,394645.43338637205,4438784.1412556805,0.04222387792887291
actual,1745082127.6655777,394645.43339020177,4438784.141249942,0.042236932991677856
actual,1745082127.7560227,394645.4338813345,4438784.140812861,0.04222508220605672
actual,1745082127.8562224,394645.43394126464,4438784.1406906815,0.04221443569761965
actual,1745082127.9903605,394645.43476057705,4438784.142250472,0.04226929139600973
actual,1745082128.082801,394645.4348058605,4438784.142312901,0.042200717409698885
actual,1745082128.2418656,394645.4348058605,4438784.142312901,0.042200717409698885
actual,1745082128.2753017,394645.43488934694,4438784.1423392845,0.042206983141713596
actual,1745082128.4016232,394645.43430047855,4438784.142631159,0.04224265767162433
actual,1745082128.5709062,394645.4342928275,4438784.142638238,0.04223773584313373
actual,1745082128.5709696,394645.4342928275,4438784.142638238,0.04223773584313373
actual,1745082128.8236964,394645.4341277689,4438784.142543209,0.04227314857365657
actual,1745082128.8237448,394645.4341277689,4438784.142543209,0.04227314857365657
actual,1745082128.9596558,394645.43412793253,4438784.142543975,0.042318020988725405
actual,1745082128.9597366,394645.43412793253,4438784.142543975,0.042318020988725405
