type,timestamp,x,y,yaw,target_waypoint_idx
actual,1745088943.1411982,394655.2828653459,4438783.608848275,-0.008722248030256565,0
actual,1745088943.2087197,394655.2824576008,4438783.60900704,-0.008731568088462247,0
actual,1745088943.367809,394655.28241261776,4438783.609017136,-0.008753943209472871,0
actual,1745088943.3679054,394655.28241261776,4438783.609017136,-0.008753943209472871,0
actual,1745088943.4858317,394655.28491667274,4438783.611880015,-0.008790420590839475,0
actual,1745088943.576008,394655.28494364093,4438783.611917751,-0.00880853710847532,0
actual,1745088943.6921263,394655.28507050266,4438783.612067549,-0.008814663214149731,0
actual,1745088943.8724515,394655.28426290443,4438783.611666703,-0.008814261788421795,0
actual,1745088943.8725061,394655.28426290443,4438783.611666703,-0.008814261788421795,0
actual,1745088944.0078597,394655.2842227168,4438783.611721206,-0.008741952797511684,0
actual,1745088944.0827096,394655.2842227168,4438783.611721206,-0.008739038097660773,0
actual,1745088944.2183528,394655.2842227168,4438783.611721206,-0.008739038097660773,0
actual,1745088944.3134675,394655.28422326257,4438783.611728632,-0.008741289572395864,0
actual,1745088944.3656795,394655.28422326257,4438783.611728632,-0.00878857054183232,0
actual,1745088944.4538913,394655.28422326257,4438783.611728632,-0.00878857054183232,0
actual,1745088944.5526874,394655.28481677186,4438783.610580459,-0.008761395765378922,0
actual,1745088944.652679,394655.2849606109,4438783.610502573,-0.008782968034933425,0
actual,1745088944.752673,394655.28498884477,4438783.610394517,-0.008693764256864005,0
actual,1745088944.8526704,394655.28497414,4438783.610295985,-0.008676450590684281,0
actual,1745088944.9526787,394655.28498812433,4438783.610288237,-0.008706801866376472,0
actual,1745088945.0527136,394655.2849442781,4438783.610299737,-0.008728915187999217,0
actual,1745088945.152674,394655.2849120188,4438783.610184574,-0.008700955013382172,0
actual,1745088945.2526708,394655.28478292044,4438783.611699361,-0.008747293505022697,0
actual,1745088945.3526711,394655.2847385144,4438783.611752164,-0.008723975906216142,0
actual,1745088945.452705,394655.2847547687,4438783.611762186,-0.00874341887408338,0
actual,1745088945.5526772,394655.28472577746,4438783.611810651,-0.008745548175770645,0
actual,1745088945.6638358,394655.2846483701,4438783.611779981,-0.008738497045592781,0
actual,1745088945.7618806,394655.2847660172,4438783.611993984,-0.008751674281445304,0
actual,1745088945.8728502,394655.2847260313,4438783.612042082,-0.00875273893228906,0
actual,1745088945.9529428,394655.2846090087,4438783.612056123,-0.008756735736275957,0
actual,1745088946.052687,394655.28447313176,4438783.611929918,-0.008745687802110947,0
actual,1745088946.1527236,394655.2843283966,4438783.611846015,-0.008756212137500441,0
actual,1745088946.252677,394655.28413995943,4438783.612200235,-0.008767399698005754,0
actual,1745088946.3527527,394655.2840783441,4438783.612179504,-0.008785097336620938,0
actual,1745088946.4526958,394655.2839675945,4438783.61210445,-0.008757014988956315,0
actual,1745088946.5527327,394655.28385008464,4438783.612036265,-0.008783509087001665,0
actual,1745088946.652683,394655.28369999205,4438783.611971187,-0.00878431193845754,0
actual,1745088946.7526784,394655.28478092264,4438783.612349316,-0.008770995076264713,0
actual,1745088946.8526754,394655.2847403096,4438783.6122713,-0.008776719756211434,0
actual,1745088946.952678,394655.28468757187,4438783.612187794,-0.008782845861885847,0
actual,1745088947.052674,394655.28461388446,4438783.612070405,-0.008792689518867044,0
actual,1745088947.1526759,394655.28453006735,4438783.611916755,-0.008817455740952817,0
actual,1745088947.252679,394655.28431872086,4438783.612064884,-0.008762058990494493,0
actual,1745088947.352713,394655.284245781,4438783.612015746,-0.008789635192676077,0
actual,1745088947.452681,394655.2841316913,4438783.611920858,-0.00880401670571266,0
actual,1745088947.5526044,394655.28399071516,4438783.61180965,-0.008808676734815377,0
actual,1745088947.6526928,394655.2838312405,4438783.611658051,-0.008809200333590892,0
actual,1745088947.752703,394655.28514092974,4438783.611381767,-0.00875273893228906,0
actual,1745088947.8526764,394655.285204337,4438783.611287797,-0.00876246041622268,0
actual,1745088947.9527729,394655.28526205075,4438783.611169182,-0.00878750589098881,0
actual,1745088948.0526726,394655.285304028,4438783.611029247,-0.008800019901725515,0
actual,1745088948.1526787,394655.2853177227,4438783.610847072,-0.008789757365723655,0
actual,1745088948.2526786,394655.2850674014,4438783.61142972,-0.008736105944517384,0
actual,1745088948.3527129,394655.2850374573,4438783.611324491,-0.008731445915414667,0
actual,1745088948.4526749,394655.28500816313,4438783.611168135,-0.008723190508052743,0
actual,1745088948.5527103,394655.28494958207,4438783.610918728,-0.0086920189276122,0
actual,1745088948.6526742,394655.2848834508,4438783.610648433,-0.008670062685621989,0
actual,1745088948.7526762,394655.2851388091,4438783.611294325,-0.00874036454789241,0
actual,1745088948.8526704,394655.28515765315,4438783.611126755,-0.00876527039631824,0
actual,1745088948.9526744,394655.2851223806,4438783.610924848,-0.00874888175464197,0
actual,1745088949.0526721,394655.28508041677,4438783.610778266,-0.008763263267678553,0
actual,1745088949.1526723,394655.28502848657,4438783.610534418,-0.008712526546322947,0
actual,1745088949.2526724,394655.2848831307,4438783.60904616,-0.008738497045592781,0
actual,1745088949.352617,394655.2848165009,4438783.608893807,-0.008719193704065598,0
actual,1745088949.4526713,394655.2847124178,4438783.608683576,-0.008707604717832348,0
actual,1745088949.552673,394655.2846075038,4438783.608467956,-0.00868683529973372,0
actual,1745088949.652704,394655.2844969108,4438783.608285741,-0.008708145769900588,0
actual,1745088949.752678,394655.284878011,4438783.609648875,-0.008745827428451003,0
actual,1745088949.8526742,394655.2848370278,4438783.609595283,-0.008714935100690819,0
actual,1745088949.9527028,394655.2848262162,4438783.609552971,-0.00872144517880069,0
actual,1745088950.052703,394655.2848207978,4438783.609511662,-0.008727309485087468,0
actual,1745088950.15272,394655.28479980666,4438783.609462149,-0.008742354223239622,0
actual,1745088950.2526739,394655.2862555391,4438783.6098067835,-0.008783631260049244,0
actual,1745088950.3526762,394655.28630055377,4438783.609844254,-0.008784573737845422,0
actual,1745088950.4527004,394655.2863376698,4438783.609860439,-0.008800142074773093,0
actual,1745088950.5527096,394655.2863549865,4438783.609841061,-0.008782043010429971,0
actual,1745088950.6527498,394655.28632658045,4438783.609823118,-0.008776056531095616,0
actual,1745088950.7526796,394655.2854530389,4438783.609256161,-0.00873729276840872,0
actual,1745088950.8526762,394655.28536837973,4438783.609175029,-0.008770593650536776,0
actual,1745088950.9527123,394655.28496943123,4438783.609151583,-0.00883956906257556,0
actual,1745088951.0527015,394655.2845983902,4438783.608900087,-0.008691093903108498,0
actual,1745088951.1526966,394655.28467979823,4438783.6087157335,-0.00877591690475556,0
actual,1745088951.2526777,394655.2849907378,4438783.609943385,-0.00878431193845754,0
actual,1745088951.3526828,394655.28522570047,4438783.609983987,-0.008821452544939962,0
actual,1745088951.4526765,394655.2854378412,4438783.609860312,-0.008828503675118074,0
actual,1745088951.5526206,394655.28547474765,4438783.609819564,-0.008792951318254926,0
actual,1745088951.6526248,394655.2853384012,4438783.609862796,-0.008824908296858867,0
actual,1745088951.7526746,394655.2850694218,4438783.609780102,-0.008804418131440596,0
actual,1745088951.852672,394655.28659928055,4438783.608765543,-0.008751272855717366,0
actual,1745088951.9526725,394655.28634743695,4438783.608604458,-0.00873369739014976,0
actual,1745088952.0526738,394655.28614649735,4438783.608442756,-0.008769389373352964,0
actual,1745088952.1526742,394655.28592983016,4438783.608255686,-0.00881506463987767,0
actual,1745088952.2526813,394655.2884756935,4438783.609069222,-0.008799478849657275,0
actual,1745088952.3526757,394655.2885819369,4438783.60903276,-0.008785236962960994,0
actual,1745088952.4527156,394655.2886848567,4438783.608937588,-0.008744762777607246,0
actual,1745088952.5526717,394655.28877937316,4438783.608856641,-0.008745687802110947,0
actual,1745088952.6526716,394655.28888477164,4438783.608770764,-0.008770593650536776,0
actual,1745088952.752673,394655.287691189,4438783.609577567,-0.008723312681100322,0
actual,1745088952.8526697,394655.28760944126,4438783.609577095,-0.008710275071587854,0
actual,1745088952.9526737,394655.28753111744,4438783.6095821895,-0.008736105944517384,0
actual,1745088953.052675,394655.28744922,4438783.609580699,-0.008743017448355442,0
actual,1745088953.1526725,394655.2873615668,4438783.609607854,-0.008747677477458159,0
actual,1745088953.2526724,394655.2860628116,4438783.609850081,-0.008735442719401812,0
actual,1745088953.3525944,394655.28589321114,4438783.609757532,-0.008720659780637291,0
actual,1745088953.45271,394655.28574495093,4438783.609717698,-0.008756212137500441,0
actual,1745088953.5527046,394655.28560338216,4438783.609656986,-0.00878150195836173,0
actual,1745088953.6527076,394655.28550456546,4438783.609541306,-0.008766055794481638,0
actual,1745088953.752711,394655.28724813194,4438783.610448325,-0.008763664693406491,0
actual,1745088953.8526747,394655.28739296505,4438783.610532651,-0.008828381502070496,0
actual,1745088953.9527187,394655.2874564405,4438783.610560081,-0.008870461390335992,0
actual,1745088954.05271,394655.2871730339,4438783.610508222,-0.0088789785970858,0
actual,1745088954.1526802,394655.28670230147,4438783.610480967,-0.008824122898695469,0
actual,1745088954.2527075,394655.2864021003,4438783.611277327,-0.008761936817446914,0
actual,1745088954.352707,394655.2865859726,4438783.611130313,-0.008759144290643828,0
actual,1745088954.4526713,394655.2868474357,4438783.611055751,-0.008701478612157938,0
actual,1745088954.552675,394655.28718045895,4438783.61113777,-0.00878497516357336,0
actual,1745088954.6527061,394655.2873817899,4438783.610873458,-0.008737170595361141,0
actual,1745088954.752579,394655.2877038641,4438783.6109725265,-0.008741167399348286,0
actual,1745088954.8526723,394655.2877136738,4438783.610937807,-0.008737833820476961,0
actual,1745088954.952681,394655.28776036476,4438783.610874573,-0.008774049402455929,0
actual,1745088955.0526714,394655.2877231528,4438783.610821108,-0.008755810711772503,0
actual,1745088955.152672,394655.2876915857,4438783.610734609,-0.008783631260049244,0
actual,1745088955.2526233,394655.28719120525,4438783.610554188,-0.00875380358313257,0
actual,1745088955.3527062,394655.28709808306,4438783.610496728,-0.008747153878682641,0
actual,1745088955.4527063,394655.28697342443,4438783.610438359,-0.008766335047161997,0
actual,1745088955.552672,394655.28676763724,4438783.610308213,-0.008774189028795985,0
actual,1745088955.6527047,394655.2865415488,4438783.610186557,-0.008751813907785358,0
actual,1745088955.7526739,394655.28699378576,4438783.610382652,-0.008759266463691408,0
actual,1745088955.8526742,394655.2870433554,4438783.610396469,-0.00878923376694814,0
actual,1745088955.952595,394655.2871410777,4438783.610387696,-0.008842099789991011,0
actual,1745088956.052671,394655.2872686892,4438783.610343016,-0.008838225159051694,0
actual,1745088956.152622,394655.2874290498,4438783.610296658,-0.008815588238653185,0
actual,1745088956.2526803,394655.2873115394,4438783.611473251,-0.008786039814417116,0
actual,1745088956.3526735,394655.28734901384,4438783.611498998,-0.008780576933858277,0
actual,1745088956.4527013,394655.28726659203,4438783.611451253,-0.008773787603068047,0
actual,1745088956.552675,394655.28705561475,4438783.6113709435,-0.008763263267678553,0
actual,1745088956.6526735,394655.2867261334,4438783.611299321,-0.0087242551588965,0
actual,1745088956.7526743,394655.28803703573,4438783.612258048,-0.008698284659626666,0
actual,1745088956.8527362,394655.2881115486,4438783.612334986,-0.008763525067066187,0
actual,1745088956.9527216,394655.2882562705,4438783.612333459,-0.00873596631817733,0
actual,1745088957.0526762,394655.28831387905,4438783.612371629,-0.008747956730138517,0
actual,1745088957.1527174,394655.2883591287,4438783.612406252,-0.008764467544862365,0
actual,1745088957.2527168,394655.2877093416,4438783.611783504,-0.00876340289401861,0
actual,1745088957.3527098,394655.2876960505,4438783.611697872,-0.008765793995094005,0
actual,1745088957.4527063,394655.2876439248,4438783.6116023585,-0.00876167501805928,0
actual,1745088957.5527332,394655.28760470496,4438783.6115444405,-0.008792165920091527,0
actual,1745088957.6527166,394655.2875237028,4438783.611353394,-0.008780978359586215,0
actual,1745088957.7526815,394655.2878486981,4438783.611516791,-0.008736891342680783,0
actual,1745088957.8527112,394655.2878516943,4438783.61152992,-0.008761395765378922,0
actual,1745088957.9527047,394655.287812174,4438783.611441086,-0.008729979838842973,0
actual,1745088958.052709,394655.28775986854,4438783.611354652,-0.008697080382442855,0
actual,1745088958.1527042,394655.28775758063,4438783.611329965,-0.008732231313578066,0
actual,1745088958.2527092,394655.28869114845,4438783.61141522,-0.008727571284475101,0
actual,1745088958.352694,394655.2886638072,4438783.61135126,-0.008731306289074365,0
actual,1745088958.4526985,394655.28872123,4438783.611323197,-0.0087747126275715,0
actual,1745088958.5526755,394655.28882955917,4438783.611248387,-0.00880401670571266,0
actual,1745088958.6527052,394655.2889220111,4438783.611075054,-0.00879176449436359,0
actual,1745088958.752697,394655.2912224157,4438783.610886197,-0.008844490891066406,0
actual,1745088958.8526528,394655.29516804224,4438783.612110612,-0.008752215333513296,0
actual,1745088958.9527109,394655.3067792008,4438783.611914524,-0.008867930662920541,0
actual,1745088959.0527,394655.32408540754,4438783.611394325,-0.00880042132745345,0
actual,1745088959.1526854,394655.34893361904,4438783.610714483,-0.008836497283092116,0
actual,1745088959.2526824,394655.3817390682,4438783.60924516,-0.008897217287768976,0
actual,1745088959.3526835,394655.4249150812,4438783.607784618,-0.008831575454601517,0
