type,x,y,yaw
start,394655.59430440626,4438783.859449886,-0.053399849447923156
goal,394684.6897841293,4438796.364305917,0.0
path,394655.59430440626,4438783.859449886,-0.053399849447923156
path,394656.59287897305,4438783.806075412,0.2587730018913857
path,394657.559583661,4438784.061970012,0.40468267116054923
path,394658.47881104535,4438784.455697095,0.7168555224998581
path,394659.2326864745,4438785.112714475,1.029028373839167
path,394659.74833805044,4438785.969512848,1.029028373839167
path,394660.2639896264,4438786.826311221,0.7168555224998582
path,394661.01786505553,4438787.483328601,0.40468267116054935
path,394661.9370924399,4438787.877055684,0.09250981982124051
path,394662.93281645735,4438787.969433609,-0.05339984944792306
path,394663.93139102415,4438787.916059135,0.25877300189138575
path,394664.89809571207,4438788.171953736,0.25877300189138575
path,394665.8648004,4438788.427848336,0.25877300189138575
path,394666.8315050879,4438788.683742937,0.40468267116054935
path,394667.7507324723,4438789.077470019,0.40468267116054935
path,394668.66995985666,4438789.471197102,0.40468267116054935
path,394669.58918724104,4438789.864924185,0.7168555224998582
path,394670.3430626702,4438790.521941565,1.029028373839167
path,394670.85871424613,4438791.378739938,0.7168555224998582
path,394671.6125896753,4438792.035757318,1.029028373839167
path,394672.1282412512,4438792.892555691,0.7168555224998582
path,394672.8821166804,4438793.549573071,0.40468267116054935
path,394673.80134406476,4438793.943300154,0.09250981982124051
path,394674.7970680822,4438794.035678079,-0.21966303151806832
path,394675.7730390126,4438793.817777315,-0.07375336224890475
path,394676.770320466,4438793.744090799,0.23841948909040409
path,394677.7420329191,4438793.980257919,0.23841948909040409
path,394678.71374537214,4438794.216425039,0.23841948909040409
path,394679.6854578252,4438794.452592159,-0.07375336224890475
path,394680.6827392786,4438794.378905643,0.23841948909040409
path,394681.65445173165,4438794.615072763,0.550592340429713
path,394682.5066664954,4438795.138264884,0.40468267116054935
path,394683.4258938798,4438795.531991967,0.40468267116054935
path,394683.4258938798,4438795.531991967,0.40468267116054935
path,394683.84719062963,4438795.80942995,0.26978844744036623
path,394684.2684873795,4438796.086867934,0.13489422372018312
path,394684.6897841293,4438796.364305917,0.0
