type,timestamp,x,y,yaw,target_waypoint_idx
actual,1745088332.8529537,394655.4762427383,4438783.924415773,-0.05931365327221067,0
actual,1745088332.9395776,394655.47672327654,4438783.9241773,-0.05931152397052341,0
actual,1745088333.0305605,394655.4769229051,4438783.924170456,-0.05933416089092167,0
actual,1745088333.1401627,394655.47725589946,4438783.924104784,-0.05934814097823007,0
actual,1745088333.2640612,394655.47725589946,4438783.924104784,-0.059359188912395326,0
actual,1745088333.3258069,394655.47555579105,4438783.923683395,-0.05936065498896702,0
actual,1745088333.476043,394655.47573417204,4438783.923567439,-0.05938182583279358,0
actual,1745088333.569353,394655.47587727825,4438783.923446717,-0.05938182583279358,0
actual,1745088333.6661427,394655.4764008139,4438783.923313118,-0.0593641281941784,0
actual,1745088333.8036551,394655.4764008139,4438783.923313118,-0.05939954092470149,0
actual,1745088333.8610609,394655.4764552022,4438783.923281513,-0.05932897726304319,0
actual,1745088333.9493756,394655.47648714343,4438783.923268765,-0.059343882374855286,0
actual,1745088334.0411541,394655.47523000895,4438783.924317086,-0.059344423426923275,0
actual,1745088334.1291764,394655.4753381289,4438783.924307247,-0.05940673168121966,0
actual,1745088334.2257543,394655.475662861,4438783.925700509,-0.059304333214004995,0
actual,1745088334.3257325,394655.4758240069,4438783.925720435,-0.059322310105300535,0
actual,1745088334.425728,394655.47601747036,4438783.925764544,-0.05933669161833712,0
actual,1745088334.5257325,394655.4763163129,4438783.925832412,-0.05934122947439226,0
actual,1745088334.6258676,394655.4766436607,4438783.92582331,-0.05931991900422539,0
actual,1745088334.7257643,394655.47709834145,4438783.925858707,-0.059335487341153306,0
actual,1745088334.8257284,394655.4761144103,4438783.925578519,-0.05931511934878237,0
actual,1745088334.925748,394655.47643940715,4438783.925559007,-0.059334824116037486,0
actual,1745088335.025807,394655.4767405403,4438783.925475292,-0.059325242258443926,0
actual,1745088335.1257985,394655.47707344877,4438783.925405465,-0.059336168019561354,0
actual,1745088335.22574,394655.4754112345,4438783.92620756,-0.05928342416956631,0
actual,1745088335.3257573,394655.4755190781,4438783.926231935,-0.05925572579433715,0
actual,1745088335.4379718,394655.47570415994,4438783.926259666,-0.0592658487039987,0
actual,1745088335.5329313,394655.47594203526,4438783.926247415,-0.05921498980959552,0
actual,1745088335.6768036,394655.4762190432,4438783.926233863,-0.05921338410668377,0
actual,1745088335.7258897,394655.4766151653,4438783.9261504505,-0.059189822161781806,0
actual,1745088335.825748,394655.47556103393,4438783.925338703,-0.05933363729214615,0
actual,1745088335.9257357,394655.47581163695,4438783.925245982,-0.05930459501339287,0
