x,y,yaw_deg
0.0,0.0,270.0
-1.247,-0.25,247.106
-2.298,-0.966,224.211
-2.987,-2.034,201.317
-3.207,-3.287,178.423
-2.923,-4.526,155.528
-2.178,-5.557,132.634
-1.092,-6.217,109.74
0.166,-6.402,86.845
1.453,-6.312,85.962
2.729,-6.222,85.962
4.006,-6.132,85.962
5.283,-6.042,85.962
6.56,-5.952,85.962
7.837,-5.861,85.962
9.113,-5.771,85.962
10.39,-5.681,85.962
11.667,-5.591,85.962
12.944,-5.501,85.962
14.221,-5.411,85.962
15.498,-5.321,85.962
16.774,-5.23,85.962
18.051,-5.14,85.962
19.328,-5.05,85.962
20.605,-4.96,85.962
21.882,-4.87,85.962
23.159,-4.78,85.962
24.435,-4.69,85.962
25.712,-4.6,85.962
26.989,-4.509,85.962
28.266,-4.419,85.962
29.543,-4.329,85.962
30.819,-4.239,85.962
32.096,-4.149,85.962
33.373,-4.059,85.962
34.65,-3.969,85.962
35.927,-3.878,85.962
37.204,-3.788,85.962
38.48,-3.698,85.962
39.757,-3.608,85.962
41.034,-3.518,85.962
42.311,-3.428,85.962
43.588,-3.338,85.962
44.864,-3.247,85.962
46.141,-3.157,85.962
47.418,-3.067,85.962
48.695,-2.977,85.962
49.972,-2.887,85.962
51.249,-2.797,85.962
52.525,-2.707,85.962
53.811,-2.616,86.32
54.017,-2.609,90.0
