type,timestamp,x,y,yaw
actual,1745086365.389712,394656.8977067725,4438783.017244835,-0.06579512543570946
actual,1745086365.4916341,394656.9004463301,4438783.017395753,-0.06583481422289982
actual,1745086365.6452992,394656.9006410255,4438783.017352081,-0.06579498580936916
actual,1745086365.7896657,394656.9006637166,4438783.017344763,-0.06577901604671355
actual,1745086365.7897458,394656.9006637166,4438783.017344763,-0.06577901604671355
actual,1745086365.8898296,394656.9006637166,4438783.017344763,-0.06581270090127707
actual,1745086366.0147512,394656.901179187,4438783.016314783,-0.06582788526576928
actual,1745086366.1473658,394656.9010229841,4438783.01594957,-0.06582722204065346
actual,1745086366.2118287,394656.90100594517,4438783.0159216365,-0.06583573924740327
actual,1745086366.3163538,394656.90097060974,4438783.0158552835,-0.065832004242804
actual,1745086366.4004676,394656.90100321354,4438783.015596335,-0.06580125154138387
actual,1745086366.5137868,394656.90100321354,4438783.015596335,-0.06581376555212058
actual,1745086366.61491,394656.90100240905,4438783.01556498,-0.06576184200687388
actual,1745086366.748066,394656.90100240905,4438783.01556498,-0.06575264412171578
actual,1745086366.8304524,394656.9004979145,4438783.015759053,-0.06575264412171578
actual,1745086366.8911908,394656.8995153867,4438783.015485554,-0.06569752662393781
actual,1745086366.989677,394656.9017206525,4438783.015677174,-0.06578913895637511
actual,1745086367.0896823,394656.90181212465,4438783.015673801,-0.06578048212328524
actual,1745086367.1896703,394656.9019276584,4438783.015675561,-0.06577315174042678
actual,1745086367.2896795,394656.90203914774,4438783.0156986825,-0.06578166894717659
actual,1745086367.3896964,394656.90212730307,4438783.01571251,-0.06580884372362998
actual,1745086367.4897976,394656.90181556327,4438783.015892578,-0.06582216058582281
actual,1745086367.5896783,394656.9018120434,4438783.01584207,-0.06580910552301786
actual,1745086367.68968,394656.90172266547,4438783.015804422,-0.06584080070223416
actual,1745086367.789699,394656.9015741602,4438783.015692053,-0.0657384022350195
actual,1745086367.8897405,394656.9014146991,4438783.015682526,-0.06575597770058711
actual,1745086367.9940727,394656.9022792059,4438783.016236999,-0.06579751653678462
actual,1745086368.0897043,394656.9022471157,4438783.016249012,-0.06578128497474112
actual,1745086368.1897085,394656.90223061823,4438783.016296831,-0.0658170991309919
actual,1745086368.2926798,394656.90214831184,4438783.016291278,-0.06580591157048683
actual,1745086368.390088,394656.90207842615,4438783.016328618,-0.0658236266623945
actual,1745086368.4907722,394656.90138605644,4438783.016627847,-0.06578540395177584
actual,1745086368.5896826,394656.9012581878,4438783.016671206,-0.06578234962558488
actual,1745086368.6896908,394656.90117391676,4438783.016709834,-0.06579339755974989
actual,1745086368.789669,394656.9010422037,4438783.016767389,-0.0658236266623945
