type,timestamp,x,y,yaw,target_waypoint_idx
actual,1745692878.8220804,394648.15178186935,4438783.449722603,-0.041406697319796494,0
actual,1745692878.822136,394648.15178186935,4438783.449722603,-0.041406697319796494,0
actual,1745692878.8221664,394648.15178186935,4438783.449722603,-0.041406697319796494,0
actual,1745692879.4730608,394648.15178186935,4438783.449722603,-0.04146767912386124,0
actual,1745692879.4731078,394648.15178186935,4438783.449722603,-0.04146767912386124,0
actual,1745692880.0952237,394648.1546671027,4438783.452991294,-0.04118737924599102,0
actual,1745692880.095309,394648.1546671027,4438783.452991294,-0.04118737924599102,0
actual,1745692880.6815367,394648.1546671027,4438783.452991294,-0.04118352206834393,0
actual,1745692880.6816185,394648.1546671027,4438783.452991294,-0.04118352206834393,0
actual,1745692883.3070798,394648.15157508076,4438783.450609524,-0.041369940685749534,0
actual,1745692883.307125,394648.15157508076,4438783.450609524,-0.041369940685749534,0
actual,1745692883.5587575,394648.1523127519,4438783.451877589,-0.04141722165518599,0
actual,1745692883.5588355,394648.1523127519,4438783.451877589,-0.04141722165518599,0
actual,1745692885.353546,394648.15273140755,4438783.451341043,-0.04131908179134635,0
actual,1745692885.3536217,394648.15273140755,4438783.451341043,-0.04131908179134635,0
actual,1745692886.226304,394648.15273140755,4438783.451341043,-0.04132400361983695,0
actual,1745692886.2263522,394648.15273140755,4438783.451341043,-0.04132400361983695,0
actual,1745692886.7625034,394648.15273140755,4438783.451341043,-0.04132400361983695,0
actual,1745692886.762619,394648.15273140755,4438783.451341043,-0.04132400361983695,0
actual,1745692887.2598531,394648.15214036265,4438783.4520565225,-0.04132400361983695,0
actual,1745692887.2599175,394648.15214036265,4438783.4520565225,-0.04132400361983695,0
actual,1745692887.3601959,394648.151360047,4438783.450969832,-0.0413785975188394,0
actual,1745692887.460066,394648.15136166586,4438783.450628834,-0.041355436999665374,0
actual,1745692887.5600638,394648.15149078873,4438783.450221132,-0.04132293896899344,0
actual,1745692887.660074,394648.1510032519,4438783.451832,-0.04137727106860801,0
actual,1745692887.7601836,394648.1511174329,4438783.451659963,-0.04135650165050913,0
actual,1745692887.8601084,394648.1512862374,4438783.451456455,-0.041325609322748945,0
actual,1745692887.960097,394648.1514771854,4438783.451217627,-0.041334789754614326,0
actual,1745692888.0603614,394648.1516425836,4438783.4509207355,-0.04136355278068724,0
actual,1745692888.1600919,394648.1503806388,4438783.451713024,-0.041461553018186825,0
actual,1745692888.2600513,394648.1503414263,4438783.451625664,-0.041473543430148016,0
actual,1745692888.3600585,394648.1503528603,4438783.451479088,-0.04145769584053974,0
actual,1745692888.4612386,394648.1504138584,4438783.45134087,-0.04144132465215619,0
actual,1745692888.5635138,394648.1505573465,4438783.4511485705,-0.04144277327543516,0
actual,1745692888.6999197,394648.15011356975,4438783.451988316,-0.041409629472939885,0
actual,1745692888.7602544,394648.1501781521,4438783.451878601,-0.041399244763890446,0
actual,1745692888.8739955,394648.150239305,4438783.451759404,-0.0414003094147342,0
actual,1745692888.9600527,394648.1503060946,4438783.451665529,-0.04142867101507919,0
actual,1745692889.0600533,394648.1503685096,4438783.451485859,-0.041402560889469295,0
actual,1745692889.160083,394648.15083526046,4438783.451156346,-0.041361824904727666,0
actual,1745692889.2610445,394648.1509654726,4438783.451036127,-0.04133332367804263,0
actual,1745692889.3600807,394648.15114100074,4438783.450825156,-0.04131335711139988,0
actual,1745692889.460257,394648.15131105203,4438783.450629338,-0.04130656778060965,0
actual,1745692889.5606835,394648.15148215997,4438783.450426106,-0.0413060267285414,0
