x,y,yaw_deg
-5,-10,90.0
-4.32,-10.0,90.0
-3.64,-10.0,90.0
-2.96,-10.0,90.0
-2.28,-10.0,90.0
-1.6,-10.0,90.0
-0.92,-10.0,90.0
-0.24,-10.0,90.0
0.44,-10.0,90.0
1.12,-10.0,90.0
1.8,-10.0,90.0
2.48,-10.0,90.0
3.16,-10.0,90.0
3.84,-10.0,90.0
4.52,-10.0,90.0
5.2,-10.0,90.0
5.88,-10.0,90.0
6.56,-10.0,90.0
7.24,-10.0,90.0
7.929,-9.969,81.951
8.596,-9.801,69.61
9.218,-9.504,62.098
9.819,-9.185,62.098
10.42,-8.867,62.098
11.021,-8.549,62.098
11.622,-8.231,62.098
12.223,-7.912,62.098
12.824,-7.594,62.098
13.425,-7.276,62.098
14.026,-6.958,62.098
14.627,-6.64,62.098
15.228,-6.321,62.098
15.829,-6.003,62.098
16.43,-5.685,62.098
17.031,-5.367,62.098
17.632,-5.049,62.098
18.224,-4.716,56.195
18.759,-4.281,48.146
19.275,-3.823,50.829
19.843,-3.451,62.992
20.476,-3.208,75.154
21.147,-3.103,87.317
21.825,-3.143,99.48
22.479,-3.324,111.642
23.08,-3.638,123.805
23.601,-4.073,135.968
24.02,-4.607,148.13
24.316,-5.218,160.293
24.477,-5.878,172.455
24.529,-6.562,175.822
24.578,-7.24,175.822
24.595,-7.584,180.0
