x,y,yaw_deg
0.0,0.002,0.0
0.425,-0.019,-0.821
0.851,-0.039,-0.854
1.276,-0.06,-0.887
1.701,-0.08,-0.921
2.127,-0.101,-0.955
2.552,-0.121,-0.99
2.977,-0.142,-1.026
3.403,-0.162,-1.063
3.828,-0.183,-1.1
4.253,-0.203,-1.137
4.679,-0.224,-1.176
5.104,-0.244,-1.214
5.529,-0.265,-1.254
5.955,-0.285,-1.293
6.38,-0.306,-1.333
6.805,-0.326,-1.374
7.231,-0.347,-1.415
7.656,-0.367,-1.456
8.081,-0.388,-1.497
8.507,-0.408,-1.539
8.932,-0.429,-1.581
9.357,-0.45,-1.623
9.783,-0.47,-1.665
10.208,-0.491,-1.707
10.633,-0.511,-1.749
11.059,-0.532,-1.791
11.484,-0.552,-1.833
11.909,-0.573,-1.874
12.335,-0.594,-1.916
12.76,-0.614,-1.957
13.185,-0.635,-1.997
13.611,-0.655,-2.038
14.036,-0.676,-2.077
14.461,-0.697,-2.116
14.887,-0.717,-2.155
15.312,-0.738,-2.193
15.737,-0.758,-2.23
16.163,-0.779,-2.267
16.588,-0.8,-2.302
17.013,-0.82,-2.337
17.439,-0.841,-2.371
17.864,-0.861,-2.404
18.289,-0.882,-2.435
18.714,-0.903,-2.466
19.14,-0.923,-2.495
19.565,-0.944,-2.523
19.99,-0.964,-2.55
20.416,-0.985,-2.576
20.841,-1.006,-2.6
21.266,-1.026,-2.623
21.692,-1.047,-2.644
22.117,-1.067,-2.664
22.542,-1.088,-2.682
22.968,-1.109,-2.699
23.393,-1.129,-2.714
23.818,-1.15,-2.728
24.244,-1.171,-2.74
24.669,-1.191,-2.75
25.094,-1.212,-2.759
25.52,-1.232,-2.766
25.945,-1.253,-2.771
26.37,-1.274,-2.774
26.796,-1.294,-2.776
27.221,-1.315,-2.776
27.646,-1.336,-2.774
28.072,-1.356,-2.771
28.497,-1.377,-2.766
28.922,-1.397,-2.759
29.348,-1.418,-2.75
29.773,-1.439,-2.74
30.198,-1.459,-2.728
30.624,-1.48,-2.714
31.049,-1.501,-2.699
31.474,-1.521,-2.682
31.9,-1.542,-2.664
32.325,-1.562,-2.644
32.75,-1.583,-2.623
33.176,-1.604,-2.6
33.601,-1.624,-2.576
34.026,-1.645,-2.55
34.451,-1.666,-2.524
34.877,-1.686,-2.495
35.302,-1.707,-2.466
35.727,-1.727,-2.435
36.153,-1.748,-2.404
36.578,-1.769,-2.371
37.003,-1.789,-2.337
37.429,-1.81,-2.303
37.854,-1.83,-2.267
38.279,-1.851,-2.231
38.705,-1.872,-2.193
39.13,-1.892,-2.155
39.555,-1.913,-2.117
39.981,-1.933,-2.078
40.406,-1.954,-2.038
40.831,-1.975,-1.998
41.257,-1.995,-1.957
41.682,-2.016,-1.916
42.107,-2.036,-1.875
42.533,-2.057,-1.833
42.958,-2.077,-1.791
43.383,-2.098,-1.749
43.809,-2.119,-1.707
44.234,-2.139,-1.665
44.659,-2.16,-1.623
45.085,-2.18,-1.581
45.51,-2.201,-1.539
45.935,-2.221,-1.498
46.361,-2.242,-1.456
46.786,-2.263,-1.415
47.211,-2.283,-1.374
47.637,-2.304,-1.334
48.062,-2.324,-1.294
48.487,-2.345,-1.254
48.913,-2.365,-1.215
49.338,-2.386,-1.176
49.763,-2.406,-1.138
50.189,-2.427,-1.1
50.614,-2.447,-1.063
51.039,-2.468,-1.027
51.465,-2.488,-0.991
51.89,-2.509,-0.956
52.315,-2.529,-0.921
52.741,-2.55,-0.887
53.166,-2.57,-0.854
53.591,-2.591,-0.822
54.016,-2.611,0.0
